Evening - Sunset; new day begins
Evening - Family meals; storytelling
Night Watch 1 - First watch; guards posted
Night Watch 1 - Quiet; stars emerge
Night Watch 1 - Sleep; occasional temple vigil
Night Watch 2 - Deep night; middle watch; quietest hours
Night Watch 2 - Guard duty; stars dominate sky
Night Watch 2 - Stillness; occasional priestly vigil
Night Watch 3 - Morning watch begins; pre-dawn anticipation
Night Watch 3 - Roosters crow; earliest stirrings
Morning - Dawn breaks; light begins to rise
Morning - First light; prayers and offerings
Morning - Daily labor begins; fields and flocks
Morning - Community movement; trade opens
Midday - Sun climbs; heat intensifies
Midday - Peak work; travel slows due to heat
Midday - Rest under shade; midday meal
Midday - Sun at zenith; intense brightness
Afternoon - Shadows lengthen; work resumes
Afternoon - Cooler breeze; field work continues
Afternoon - Sacrifices prepared; temple activity
Afternoon - Final tasks; market closes
Twilight - Sunset approaches; golden light
Twilight - Sacrifices offered; day ends
